Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDJ20,OUT017,1964.3617280324527
FDV44,OUT027,4595.820232984408
FDG02,OUT049,2783.36429695623
FDA09,OUT013,3277.965889280219
FDT04,OUT013,1170.3584264024794
FDL58,OUT019,830.9937945381209
FDE52,OUT045,1436.1347291456227
FDW12,OUT035,2380.6717031241524
FDL51,OUT017,3382.1786957470613
NCY42,OUT027,3040.865169352487
FDR07,OUT017,1712.7506942157172
FDN40,OUT045,2308.2636068035035
FDB35,OUT027,2428.404310542632
FDA22,OUT017,2695.4919207693406
NCL06,OUT046,3291.9080691667978
FDI35,OUT013,2939.1676439196035
NCW42,OUT045,3144.7330272341055
NCX06,OUT049,3226.900643948821
FDC37,OUT027,2346.2433636901255
FDZ14,OUT018,1646.8311582642712
DRG49,OUT049,3621.7991803257887
NCG06,OUT045,3399.543331397681
DRC36,OUT045,2663.264268949016
FDV21,OUT019,411.06241682310224
FDB53,OUT046,2525.968674366057
DRP47,OUT019,674.1477136705105
FDA14,OUT013,2386.2382604185746
DRC24,OUT035,2598.9320402223843
FDW21,OUT018,1582.0156668386137
NCH29,OUT046,2194.1440294547783
FDU58,OUT013,2838.36863086798
FDY27,OUT017,2533.268323082293
FDV56,OUT035,2021.435561109822
FDT59,OUT046,3626.3845666041793
FDB23,OUT046,3118.126895404804
FDR49,OUT045,1267.8631493163366
FDB03,OUT010,635.5196960333467
FDN39,OUT045,2813.909430733523
FDX02,OUT027,5154.695929777006
FDQ16,OUT027,2374.9853770979075
FDU35,OUT018,1582.274725055613
NCT29,OUT013,1638.6409883006918
FDZ27,OUT046,1298.7959330409476
FDN57,OUT017,2235.1424843531117
FDA03,OUT018,1856.8569050742192
FDZ36,OUT045,3059.314173659071
NCU05,OUT013,1200.571208942961
FDT39,OUT018,2117.840786899615
FDK60,OUT017,1808.4495492209196
FDZ25,OUT017,3032.5280213506203
FDG12,OUT046,2140.6555465478286
DRB01,OUT019,733.7501262611904
NCC43,OUT027,4980.215112382915
FDX13,OUT019,976.8830849890078
FDM22,OUT049,1316.9542549110563
FDJ03,OUT027,2030.4526001826857
FDU14,OUT018,3379.719790513187
FDB33,OUT010,464.0188075096696
FDP27,OUT046,3024.204111622969
FDO38,OUT010,281.28088992225435
FDE28,OUT027,4682.536314571557
FDO27,OUT035,1729.9312443037848
DRL23,OUT027,2371.6942410401243
FDS28,OUT046,1293.8689454430423
FDX24,OUT013,1354.1310623051647
FDZ02,OUT035,1569.3716738911903
FDL46,OUT045,1601.6936820533185
FDS60,OUT027,4140.789206137646
NCO06,OUT017,1070.876848619783
FDO16,OUT035,1576.4002097936468
FDC60,OUT049,1700.5312934224576
FDA48,OUT018,2931.2658812183236
FDZ36,OUT027,4299.409884411504
FDK27,OUT045,1679.36058213701
FDW23,OUT018,1271.26962224198
FDM14,OUT018,1448.813293493754
FDM14,OUT013,1708.3156208470816
FDW60,OUT018,2539.340666106219
FDE21,OUT013,1918.248473025332
NCM42,OUT035,2034.464923441875
FDY59,OUT010,233.58782078962054
DRI49,OUT049,1520.4206386951096
FDT28,OUT019,507.2560398223404
FDQ22,OUT018,1241.518060012147
FDR60,OUT049,1445.03465794048
FDC50,OUT019,435.0490263843528
FDV24,OUT013,2527.341808289786
DRF48,OUT010,626.7958304559145
FDQ47,OUT046,1445.8425420013282
DRN36,OUT049,1512.90616431535
NCY06,OUT035,2174.3819888608787
FDE52,OUT035,1637.9374479763428
NCB54,OUT045,1658.010343048616
NCF31,OUT035,2493.938135512954
FDJ08,OUT027,4905.21094408254
NCC07,OUT017,1822.4913179220223
NCD19,OUT027,1910.483438017732
FDL46,OUT049,1913.4264415754085
FDM20,OUT045,3392.541665059147
NCI06,OUT010,470.4882492725935
DRM11,OUT035,3408.3975858529575
NCH07,OUT018,2326.5840847401123
FDS23,OUT013,1961.857270644181
FDO49,OUT018,1112.5075783343575
FDS35,OUT049,1445.2380892389401
DRK39,OUT045,1328.3441744935462
DRI39,OUT049,1408.9701078796666
FDV04,OUT017,2353.658952275905
NCN14,OUT035,2822.5724069185953
FDH08,OUT013,3708.0461011773914
FDS20,OUT046,2825.1138964217976
FDV40,OUT049,1432.3935765385927
FDZ48,OUT010,268.12447279310754
FDS24,OUT027,2514.7252256781258
FDK44,OUT049,2689.98753864964
FDS48,OUT045,2442.460223771389
FDK26,OUT010,609.7235536180658
FDD23,OUT045,3079.1127750407913
NCH54,OUT017,2579.9384351268427
NCP14,OUT010,330.18340776118
FDM60,OUT010,231.3922092035598
FDV24,OUT017,2576.508481627879
FDH08,OUT018,3103.4084458890284
FDS12,OUT027,2925.1646275591056
FDR39,OUT027,4914.75722017212
FDP12,OUT027,2006.0710411245145
DRF60,OUT027,4966.363063003802
FDC09,OUT035,1952.6895502520474
FDF50,OUT018,2699.5159212002272
FDG28,OUT035,3675.515821616088
NCE19,OUT017,1003.8387864334968
NCM53,OUT010,368.9125351048001
NCN18,OUT049,1656.7812462510076
FDF32,OUT035,3465.455418618737
FDF11,OUT013,3274.4473716783737
DRI59,OUT049,3489.063025021489
NCG54,OUT035,3029.107219058701
FDM44,OUT046,1616.792823955987
FDT57,OUT018,2623.6426166565125
FDV24,OUT046,2541.3671088512747
FDI50,OUT019,1015.9691228665365
FDS09,OUT035,1273.938967255572
NCC31,OUT027,3801.8328131959674
FDQ07,OUT019,800.9994429964229
FDC22,OUT017,2990.880053211269
FDZ56,OUT046,2342.5598775142835
FDZ40,OUT019,299.37195915483176
FDS46,OUT027,2651.7115597578695
DRD24,OUT045,1773.6569937532936
FDV45,OUT017,3152.0172603609
FDL26,OUT045,2718.123464686628
FDA56,OUT018,1456.267090452136
FDN27,OUT046,1726.8634490045965
FDM20,OUT049,3675.322799584459
FDO16,OUT017,1838.4604070530336
FDL03,OUT035,3384.961089766106
FDE58,OUT046,1977.1255639420622
FDI02,OUT027,2813.6545239178163
NCC55,OUT019,316.55377753053585
FDR03,OUT018,2721.7355350315734
FDB14,OUT017,1811.207084009874
FDR45,OUT013,3426.234477961926
NCN07,OUT017,2027.2816817385117
FDM51,OUT019,440.4024503929727
FDT52,OUT027,5077.303166037945
FDL26,OUT046,2512.921534330873
NCZ42,OUT046,2779.0016409357636
DRI47,OUT019,535.5869094773507
FDW40,OUT013,2168.3335626731914
FDN34,OUT046,2755.200592440853
FDS01,OUT035,3084.0723453138826
NCG55,OUT045,1685.628284692423
FDC11,OUT035,1784.6324919522904
FDX35,OUT018,2900.0022144239983
NCB06,OUT046,2452.4393679499926
FDR09,OUT019,816.4941087049472
FDC53,OUT017,1794.0768891803743
FDY45,OUT013,3461.495397096705
FDA22,OUT010,653.6718638503457
FDE02,OUT035,1585.1429805754142
FDW21,OUT045,1793.8883029166998
FDV34,OUT046,1368.3978591540354
FDS59,OUT049,1877.5309998636847
NCW17,OUT017,2183.0473412083466
NCK54,OUT046,1793.4446008804061
FDG17,OUT019,958.1140405972628
FDG35,OUT017,3035.7875686848292
FDD08,OUT010,250.94601307923904
NCO07,OUT017,3340.8771607912504
FDJ10,OUT010,360.0352530628436
FDW36,OUT017,1714.9985680772554
FDW21,OUT010,355.4595321603906
FDY19,OUT017,2024.522939427699
DRE03,OUT013,1043.3843295775655
NCC55,OUT049,1214.3670422100527
FDH52,OUT010,252.43286524537552
FDO09,OUT017,3543.308283313931
FDU43,OUT045,3690.513994934186
FDX09,OUT010,545.1800177831253
FDH40,OUT019,375.2049453682978
FDW58,OUT017,2023.1708487595836
FDC47,OUT017,3621.12533226067
NCR41,OUT035,2018.7714215214417
DRG49,OUT035,3465.38193445852
FDC52,OUT027,3782.8484969807214
FDY13,OUT046,1385.5843348023056
FDY35,OUT013,1437.4192006731857
FDI35,OUT017,3092.506451480849
NCU18,OUT049,2185.2169735185794
FDY33,OUT018,2596.9974720624296
FDC15,OUT027,3554.4649613778415
FDU01,OUT049,2810.505469113371
NCU42,OUT046,2541.820173657465
NCV29,OUT018,2572.5595694090016
NCY30,OUT017,2947.356035829055
FDQ46,OUT049,1902.6664472323992
FDG58,OUT027,3773.4452837569343
FDK33,OUT017,3734.0617039165427
NCD07,OUT045,1611.7931832550416
NCX29,OUT027,3432.935109779074
NCT42,OUT013,2531.2333845997014
DRN59,OUT035,1337.839499115378
FDI44,OUT035,1450.2694396117438
FDA45,OUT049,2321.2063354721745
FDP31,OUT045,1352.5573022290182
FDY01,OUT046,1756.0747740321774
FDT09,OUT018,1733.6885135933708
DRH03,OUT027,2375.768489170248
FDA36,OUT018,2382.964302009102
NCF31,OUT017,2415.037545408368
FDG14,OUT049,2369.952882757064
FDG28,OUT027,5095.51656153134
FDU14,OUT049,3357.163699584112
FDY47,OUT019,487.44527312728724
FDI56,OUT049,1505.5761374443678
DRD01,OUT013,1327.8852492145918
FDM22,OUT046,1315.00293863041
FDH33,OUT013,1471.5149520380255
DRZ24,OUT013,1816.9721151550164
NCQ38,OUT046,1560.5000012689798
FDO16,OUT027,2376.926067190128
FDU07,OUT027,3657.6723788212
NCB07,OUT013,2838.0301765116023
FDU48,OUT045,1795.376706298439
NCM43,OUT045,2609.4498386018945
FDR31,OUT010,459.7492212123675
DRK49,OUT018,928.4383172731611
NCI30,OUT010,829.7234056851819
DRD60,OUT017,3022.8928752201737
NCG19,OUT046,3040.7607591082724
FDH12,OUT035,1546.5322065638388
FDM32,OUT035,1874.8080667623365
FDM27,OUT035,2626.7228510296864
NCU53,OUT027,3902.9282910029287
NCQ18,OUT046,1598.809239283269
FDS10,OUT013,2861.8268982531513
FDB33,OUT027,4313.187979381653
FDI12,OUT013,1481.7781455134777
NCW42,OUT013,3684.1934740289375
NCC06,OUT018,1812.0105916196494
FDW02,OUT017,1972.107349516735
NCD43,OUT017,1746.6488028185606
FDM57,OUT018,1239.703063750579
FDA58,OUT017,3356.3194253861143
FDK56,OUT046,2753.33418300621
FDP52,OUT045,3396.282146061169
FDW20,OUT018,1513.8422249068572
FDS52,OUT049,1621.0608969474797
NCT29,OUT018,1563.002204689124
NCL54,OUT013,2968.790175147027
FDC05,OUT045,2628.092870910752
FDF34,OUT035,3003.7002399364924
FDP03,OUT027,2786.9767411756793
FDD32,OUT010,213.5823183042005
FDZ10,OUT045,1837.065224674527
FDZ40,OUT035,1262.0790716664226
FDD51,OUT018,1103.4245452375785
NCY30,OUT019,646.573929686062
FDP58,OUT017,3378.8128104062766
FDV49,OUT017,3626.376007873504
FDY24,OUT019,313.5353052664543
NCO55,OUT017,1785.782147350782
FDR13,OUT017,1970.1443137436736
FDS51,OUT017,1313.2946117482602
FDP26,OUT045,1568.748360999182
NCB54,OUT027,3018.774505480227
FDF32,OUT017,3235.6742794079864
FDN31,OUT018,2929.5870446650056
DRM48,OUT017,1160.1275399195224
FDN20,OUT049,2916.6323162785166
DRL01,OUT046,2879.0820098509466
FDV56,OUT049,1653.5320506383468
DRH13,OUT027,2563.061857240844
FDA03,OUT017,2484.1330068427537
FDF47,OUT027,4573.3103335037395
FDX32,OUT046,2366.4252711685454
FDX57,OUT049,1939.9605301926003
NCA30,OUT045,2716.302025150531
FDO49,OUT013,1149.2860436663552
FDL04,OUT019,328.45754428322766
DRM48,OUT035,1255.2762788895957
FDR16,OUT013,2931.549762789287
NCC19,OUT018,2592.782243450954
NCE42,OUT045,2824.3336716547847
FDY24,OUT017,1469.221676439673
FDH19,OUT049,2874.687941546471
FDJ46,OUT013,2667.6753837839688
FDN45,OUT010,566.1027834772494
FDY08,OUT035,2198.143041370534
FDZ37,OUT035,1835.4059426283864
NCT30,OUT045,1127.5973398896333
DRY23,OUT018,1060.6719901127192
NCZ30,OUT018,1743.5942314130407
FDC44,OUT018,1449.7082189798732
FDB45,OUT035,1954.8634543095523
FDY04,OUT013,2545.6100430620468
FDM27,OUT046,2292.072435279154
FDZ43,OUT017,4013.287013050407
FDT39,OUT019,585.5356566401865
NCC06,OUT019,488.7501875990424
FDL15,OUT027,3690.61413888671
FDL57,OUT017,4057.9704230377356
FDU08,OUT046,1658.7432292043961
FDK40,OUT017,3744.559943931757
FDQ12,OUT010,720.8931774704984
FDS48,OUT017,2655.24715361795
FDP09,OUT045,2716.701414248416
FDW21,OUT049,1744.3600471491009
FDY25,OUT035,3075.7391430090706
DRE13,OUT017,1630.9745896693148
FDV43,OUT019,347.33495231216284
FDD22,OUT045,1635.3272552877988
FDM46,OUT019,367.47645807524987
NCO30,OUT010,509.27931123887515
FDM25,OUT046,2574.649303409632
NCN41,OUT049,1862.2426361457717
FDU24,OUT045,1587.741711078399
FDZ50,OUT046,3071.4130770011934
FDP45,OUT013,3608.390303771219
NCM54,OUT045,1818.152657172738
FDW10,OUT019,655.1991426349641
FDP20,OUT017,2094.422019007168
FDK32,OUT046,2592.9506859445546
FDN52,OUT049,1441.0975313409836
FDM58,OUT045,1858.1801287836188
FDZ46,OUT027,3010.116802622729
NCA18,OUT018,1665.0719899722426
FDD35,OUT046,2050.551382398006
NCK31,OUT035,1514.2959219978272
FDI40,OUT027,2503.0016044656086
FDT50,OUT019,348.0878631404148
NCT06,OUT046,2580.6073716404735
FDT31,OUT035,3079.093940028259
FDT45,OUT049,1377.1377387704572
FDT13,OUT045,2998.149654397311
FDO50,OUT045,1604.6828790281318
NCU18,OUT010,375.4428426139227
NCR54,OUT049,3487.0462189750297
NCO18,OUT018,2510.1031449737743
FDU09,OUT045,1110.0936076336989
FDT13,OUT018,2332.5869074865477
FDE09,OUT046,1955.999065893233
NCK53,OUT019,360.25533211513084
FDG45,OUT049,3347.33457471143
DRH15,OUT035,1316.6562947319107
FDO21,OUT019,859.5232140318858
FDD14,OUT027,4198.556657039716
FDC09,OUT046,1655.7187418226424
FDH45,OUT027,2057.3294854786113
FDV32,OUT046,1407.1190500931737
FDG12,OUT035,1805.770617983526
FDS32,OUT013,2067.213610245421
NCL55,OUT018,3024.650705489924
DRE01,OUT035,3644.121305468656
DRE15,OUT049,1614.4173398596872
NCL42,OUT045,3315.7492668353343
FDP31,OUT013,1445.4818774650241
FDN33,OUT018,1499.109895381071
FDZ59,OUT046,2974.2614568717963
FDE45,OUT010,547.4695281014406
FDJ07,OUT013,1641.7620635154467
FDQ45,OUT018,2622.1600946912113
FDM33,OUT027,5341.524231161036
FDO15,OUT010,294.8328278148979
FDM46,OUT013,1659.7163736905932
FDR03,OUT045,3037.5773440849825
FDY49,OUT018,2296.14230655154
FDQ60,OUT045,1718.6688674340749
FDW10,OUT049,2409.8797249742292
FDO51,OUT049,1506.2226511890367
FDJ40,OUT018,1416.1061002898691
FDS20,OUT018,2768.3807293043774
FDU45,OUT013,2212.460989913779
FDV02,OUT035,2779.1249579970654
FDN09,OUT046,2976.5351396384485
NCM55,OUT027,4163.587945923492
FDN23,OUT018,2187.995661652353
FDY31,OUT010,473.03638754761755
FDW03,OUT010,396.6355321850151
FDD14,OUT046,2788.7360334209575
FDV23,OUT017,1741.7393555951212
DRI03,OUT045,2329.9474319368837
FDN13,OUT035,1846.1969866515587
FDF45,OUT027,2147.421840939274
FDU46,OUT035,1584.1273503018924
FDB57,OUT049,3314.6732205002004
FDV12,OUT049,1877.57931433263
FDQ58,OUT013,2511.3815530613206
NCA18,OUT017,2004.0533149492646
FDH52,OUT049,1297.1004007314011
FDM24,OUT018,2219.5317421561967
NCP43,OUT027,4147.270975984283
NCO18,OUT019,634.2657328088653
FDM32,OUT017,1641.8455675093037
NCL07,OUT017,1265.173209451136
FDK03,OUT013,3782.0371114998343
FDP59,OUT017,1889.1065656427008
FDQ24,OUT049,3302.6037826635984
FDQ16,OUT018,1542.5898721773942
FDU44,OUT013,2378.597400157769
FDH28,OUT010,210.79501012935293
FDV28,OUT019,276.7053925449977
FDM22,OUT045,1140.9690290893056
FDR56,OUT046,2610.6164953386983
FDV39,OUT049,2787.511298819083
FDU37,OUT019,419.3611320964844
FDQ11,OUT010,834.945535929458
FDX02,OUT045,3567.4282613325217
NCS42,OUT018,1458.65529790449
FDY57,OUT027,2408.058711878263
FDB21,OUT049,3436.0695184154556
FDE28,OUT017,3073.3919762504593
FDQ55,OUT017,1810.6109085978176
FDA48,OUT049,3166.122351593136
FDZ19,OUT045,2523.4956085883537
NCC43,OUT045,3159.150603305491
NCV18,OUT046,1407.9894172952252
NCA42,OUT018,2474.9874677854314
FDY45,OUT046,3187.9501049806267
NCC30,OUT045,2855.823933909882
FDM57,OUT013,1458.2398593904827
FDL09,OUT010,446.12400722125267
FDB09,OUT027,3310.088843868143
FDT44,OUT035,1902.250855837156
NCT06,OUT027,4057.776035474926
FDX26,OUT049,2942.58830126122
FDK32,OUT013,2510.0351521218217
DRA12,OUT046,1883.6962462472268
FDO46,OUT010,628.8855757802712
FDE52,OUT013,1603.2304751160323
NCH42,OUT045,3226.7166598689273
FDV08,OUT035,1171.2750389143662
FDB47,OUT018,2427.242826013552
FDC28,OUT010,304.0631949670783
FDD22,OUT046,1850.4000124628485
FDS07,OUT027,3205.2759244933986
DRI13,OUT045,3242.295341248348
FDG32,OUT018,2829.9030228849624
FDU14,OUT017,3794.0421366069095
FDD28,OUT019,313.9392651541
NCP41,OUT017,1734.197642348151
FDS08,OUT049,2643.331923017568
FDX47,OUT045,2556.4514581230987
FDC53,OUT019,446.44347663542976
FDQ19,OUT035,3692.0376255797155
FDL14,OUT045,2657.6163098196766
FDM33,OUT019,788.7681423775839
FDA51,OUT045,1623.1788949389952
FDZ27,OUT018,1182.3188181352139
FDT04,OUT046,1119.7864044576029
DRC13,OUT049,1839.6040277491622
FDR16,OUT027,4641.783872038799
FDQ03,OUT027,5260.422515880783
FDE38,OUT035,2777.1391565238664
DRH23,OUT027,2151.0728106578445
FDT11,OUT019,861.3533797543073
FDD09,OUT035,3111.887885047177
FDR40,OUT045,1495.5268528945744
FDX07,OUT017,3184.311464509935
FDR07,OUT035,1962.7222717968957
FDA51,OUT017,1845.832447013978
FDT59,OUT019,963.9950557812365
FDF20,OUT017,3228.225727064232
FDR13,OUT045,1714.3051598545287
FDY26,OUT049,3071.9291032258816
FDW04,OUT017,1875.2232703508012
FDK52,OUT017,3702.6763349102976
FDN60,OUT049,2750.0284983784722
FDM09,OUT019,623.3437781688972
FDP46,OUT049,1612.5242121145932
FDB50,OUT019,406.44301580943034
NCQ29,OUT049,3320.908521714045
FDP16,OUT027,4959.67145765729
FDX33,OUT018,2622.579181556991
FDP07,OUT010,577.0974360402936
FDN22,OUT046,3144.6584023195464
FDF39,OUT049,3362.3889218210134
FDS21,OUT017,1441.6868490556164
NCM42,OUT013,1646.8631483190977
FDK50,OUT019,665.845807981676
DRF13,OUT027,3347.3965785176247
FDH35,OUT018,2318.736709784968
FDP60,OUT018,1415.5171778202944
DRJ49,OUT027,2729.1653054981425
NCT42,OUT019,516.5252632802164
FDE38,OUT049,2610.3317053399032
FDI04,OUT049,3475.9986863925633
NCH54,OUT045,2715.416330876996
FDT56,OUT049,1315.0766811015237
DRD15,OUT018,3000.6533226483257
FDV58,OUT013,2879.5219646458677
FDP21,OUT049,3274.87247769307
FDH05,OUT013,3403.244416816815
FDR10,OUT027,3784.726311395709
NCP06,OUT045,2199.9373487974935
FDF33,OUT049,1790.9845247152605
DRK37,OUT013,3076.7504686650364
DRH49,OUT045,1468.4230194833988
FDT58,OUT013,2565.735295065507
FDD41,OUT018,1438.2244491978822
FDP40,OUT018,1697.6230302465453
FDM51,OUT027,2621.02115932636
FDO45,OUT010,261.4157165513934
FDW33,OUT010,344.78596216872893
FDY24,OUT045,1636.3873771326398
FDB10,OUT010,657.7233396779013
FDM40,OUT035,2182.933856444459
NCI06,OUT017,3328.237912140542
FDW12,OUT019,579.3065835024711
FDX48,OUT027,3923.5151916525306
NCW05,OUT027,2708.470709774724
FDX27,OUT017,1741.0774940658707
DRM37,OUT045,3164.214173590104
FDA38,OUT045,3177.1464277408522
FDR36,OUT046,1396.0574065597893
FDZ45,OUT046,3071.284746116011
FDG05,OUT017,2580.3080479134073
FDK28,OUT013,3787.674753878608
FDV47,OUT045,1457.1915370429633
FDN21,OUT045,2395.8079413805285
FDP20,OUT027,3473.8281856518142
FDI35,OUT045,2926.9824204056404
DRY23,OUT013,1262.4610023521109
FDA56,OUT017,1908.098211265819
FDB09,OUT013,1703.1308801699197
NCO26,OUT027,2630.0968044846186
FDQ49,OUT018,2438.248075690104
FDI52,OUT027,2841.227113237094
FDZ44,OUT027,3355.433146118875
FDZ09,OUT018,2701.59520916656
FDY03,OUT049,1960.7765513525283
NCG42,OUT017,2124.1213987681003
DRI13,OUT027,5277.507944153456
FDQ32,OUT013,1914.4709681151119
FDW16,OUT035,1405.024147474709
FDU27,OUT046,1331.183638095002
FDR28,OUT010,448.04155814945557
FDQ49,OUT010,598.5260854610021
FDS37,OUT046,1844.406605682091
FDW26,OUT018,2974.631005067932
FDX12,OUT018,2715.149811709821
NCP06,OUT013,2647.725461131421
FDW45,OUT010,405.7858672163113
NCN30,OUT049,1752.7873484610855
FDN24,OUT049,1374.9409539694311
NCL41,OUT027,1642.571641031359
FDR02,OUT019,402.7003156068222
FDD09,OUT010,576.7489684082889
FDS33,OUT010,275.59513607040276
FDU22,OUT045,1688.8107907009162
FDI53,OUT013,2261.300813534044
DRH01,OUT049,2768.638714028522
FDX32,OUT013,2095.751358505554
NCP30,OUT018,1004.0443685726841
FDB60,OUT045,2863.7509410719304
FDB14,OUT049,1510.9033792286868
NCP02,OUT035,1413.6400239386048
FDJ10,OUT017,2031.4275510895266
FDG34,OUT046,1685.3896233659757
NCB18,OUT017,1498.356846203381
FDM16,OUT049,1384.3082279613855
FDW25,OUT018,1537.4668802873011
FDB35,OUT010,394.7445824182355
DRN11,OUT013,2122.84595734749
FDF41,OUT019,687.8289803734899
FDH16,OUT045,1342.3329638639907
NCQ50,OUT018,3028.9435043172107
DRH23,OUT018,1175.0697448771282
DRJ37,OUT013,2580.803903807887
DRJ24,OUT027,4192.861203740786
FDY16,OUT035,3185.7579515639077
FDQ27,OUT045,1698.3775621864843
FDZ33,OUT045,2325.4684909922426
FDF29,OUT045,1755.269879340959
FDA08,OUT049,3178.5702794129165
FDG31,OUT046,1297.0580803088358
FDE34,OUT019,718.1187304128555
NCR30,OUT027,2041.3096764598656
FDV33,OUT035,3747.7839036215228
DRZ24,OUT018,1637.2197629174088
NCL54,OUT035,3043.2186696557364
FDR12,OUT049,3154.68092942799
NCC54,OUT046,3579.845319180753
DRN59,OUT013,1309.1905465923805
FDX50,OUT019,366.3931484342595
FDV31,OUT027,4246.166970462265
NCA29,OUT027,4174.012252954622
FDW60,OUT049,3292.490182984467
FDX08,OUT017,2984.5519862009946
DRD49,OUT013,3386.1256841297945
FDD33,OUT046,3361.1584188161355
FDW35,OUT013,1293.0741596038438
FDJ36,OUT017,1850.6216278415582
FDV51,OUT035,3204.1396343267306
FDW36,OUT046,1872.7472510361777
FDH35,OUT046,2665.0893000938477
NCS30,OUT027,3084.554004916791
FDN49,OUT017,1379.650300889321
FDL08,OUT018,3170.2846783229497
FDI09,OUT013,3219.8105416430208
FDP19,OUT018,1712.2887110760194
FDU21,OUT010,230.5036226570278
NCP41,OUT045,1641.250126898073
FDY10,OUT013,1900.3425041502317
FDP12,OUT018,1074.368777529243
NCN26,OUT049,2113.6255972593044
FDK44,OUT013,2831.7337556288962
FDC28,OUT049,1572.602976862849
FDJ41,OUT027,5274.105079774474
NCT29,OUT035,2003.9744133879328
NCH42,OUT019,794.6624129850097
FDU60,OUT018,2467.5987097774323
FDS02,OUT045,2913.530709153657
FDC51,OUT046,1941.8078659489327
FDU03,OUT013,3114.4816247643867
FDX39,OUT045,3117.084929302997
NCY05,OUT010,267.10334325835447
NCL06,OUT027,5119.391721684697
FDD32,OUT035,1618.1982773119285
NCN41,OUT045,1732.7329413228847
NCX53,OUT049,2125.5124261157007
FDU57,OUT019,550.9425909738097
FDQ23,OUT046,1928.0842866848977
FDQ52,OUT045,3654.2417660940155
FDC14,OUT045,1099.4947119041785
FDY09,OUT035,3577.9815883712213
FDQ28,OUT045,2608.29265197048
FDV25,OUT046,3499.5156165600683
FDJ07,OUT035,1912.2301898345277
DRB25,OUT049,1669.802986471274
FDK52,OUT019,911.1005343373604
FDY52,OUT027,1855.437727207444
FDB28,OUT046,3228.776358386477
FDT36,OUT035,1034.2621871172155
FDV25,OUT017,3348.3813376707485
NCN07,OUT027,2853.3199223509905
FDC57,OUT017,3279.7186099283936
FDQ03,OUT018,3010.3090895174673
FDU23,OUT017,2701.145197334168
NCX41,OUT035,3512.7932509381853
NCD06,OUT035,1513.465440648385
FDW08,OUT045,1619.7830620738814
NCU29,OUT017,2448.8045630572446
NCE06,OUT013,2754.214052498328
FDV52,OUT010,295.0832583741699
FDB02,OUT017,2952.899712135788
NCR18,OUT045,1081.2172800328708
FDK16,OUT049,1553.2670170895785
NCQ29,OUT010,711.925802323811
FDZ01,OUT019,476.05774349475723
FDW27,OUT035,2509.965339941904
FDD17,OUT018,3318.5363182085125
FDW39,OUT013,2825.856113856479
DRH59,OUT045,1147.7659482991521
FDS52,OUT013,1515.4774872573337
FDU40,OUT027,4910.924720811746
NCF54,OUT013,2833.5520045082067
FDH46,OUT045,1655.706285363889
NCP14,OUT049,1645.6383611818849
FDH50,OUT049,2895.5979765963298
DRF15,OUT010,430.31284923664475
FDV27,OUT027,2463.83719206595
NCJ06,OUT049,2242.181328083186
FDN02,OUT018,2607.9380098441143
FDQ51,OUT049,1373.748948354948
FDQ07,OUT017,3882.8591238139697
FDS45,OUT049,1829.0288560268352
NCJ06,OUT045,1671.1250938761734
FDD36,OUT035,1680.7023334767696
FDY25,OUT045,2809.288639410911
FDU52,OUT046,2644.0325413020546
DRK47,OUT017,3485.077040026943
NCL30,OUT017,2243.081440699398
FDN22,OUT035,3566.798659203284
NCF30,OUT027,3161.0761216194965
